Match_ID,Match_Date,Match,Winner,Loser,WinLoss,Championship_Match,Promotion,Match_Type,Stipulation,Event,Event_Name,Event_Type
1664,2012-12-15,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE House Show,WWE House Show,Non-Televised
1663,2012-12-10,John Cena vs The Big Show,John Cena,The Big Show,Win,Exhibition,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1662,2012-12-09,John Cena vs Antonio Cesaro,John Cena,Antonio Cesaro,Win,Exhibition,WWE,Singles,No Stipulation,WWE Tribute To The Troops 2012,WWE Tribute To The Troops ,Televised
1661,2012-12-03,John Cena & Sheamus vs Dolph Ziggler & The Big Show,John Cena & Sheamus,Dolph Ziggler & The Big Show,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1660,2012-12-02,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1659,2012-12-01,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1658,2012-11-30,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1657,2012-11-27,John Cena vs Alberto Del Rio,John Cena,Alberto Del Rio,Win,Exhibition,WWE,Singles,No Stipulation,WWE Friday Night SmackDown ,WWE SmackDown,Televised
1656,2012-11-27,John Cena vs Damien Sandow,John Cena,Damien Sandow,Win,Exhibition,WWE,Singles,No Stipulation,WWE Main Event ,WWE Main Event ,Televised
1655,2012-11-26,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1654,2012-11-20,John Cena vs Heath Slater,John Cena,Heath Slater,Win,Exhibition,WWE,Singles,No Stipulation,WWE Saturday Morning Slam ,WWE Saturday Morning Slam ,Televised
1653,2012-11-18,CM Punk vs John Cena and Ryback,CM Punk,John Cena and Ryback,Loss,Exhibition,WWE,Triple Threat,No Stipulation,WWE Survivor Series 2012,WWE Survivor Series ,PPV/PLE
1652,2012-11-12,John Cena vs CM Punk,John Cena,CM Punk,Win,Exhibition,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1651,2012-11-10,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1650,2012-11-09,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1649,2012-11-08,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1648,2012-11-07,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1647,2012-11-06,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1646,2012-11-05,John Cena & Ryback vs CM Punk & Dolph Ziggler,John Cena & Ryback,CM Punk & Dolph Ziggler,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1645,2012-11-04,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1644,2012-11-03,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1643,2012-11-02,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1642,2012-11-01,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1641,2012-10-31,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1640,2012-09-17,John Cena & Sheamus vs Alberto Del Rio & CM Punk,John Cena & Sheamus,Alberto Del Rio & CM Punk,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1639,2012-09-17,CM Punk vs John Cena,CM Punk,John Cena,Loss,Exhibition,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Non-Televised
1638,2012-09-16,CM Punk vs. John Cena - Double Pin,No Contest,No Contest,No Contest,Exhibition,WWE,Singles,No Stipulation,WWE Night Of Champions 2012,WWE Night Of Champions ,PPV/PLE
1637,2012-09-15,John Cena vs CM Punk,John Cena,CM Punk,Win,Exhibition,WWE,Singles,No Stipulation,WWE House Show,WWE House Show,Non-Televised
1636,2012-09-03,Alberto Del Rio vs John Cena,Alberto Del Rio,John Cena,Loss,Exhibition,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1635,2012-09-01,John Cena vs John Laurinaitis & The Big Show,John Cena,John Laurinaitis & The Big Show,Win,Exhibition,WWE,1 vs 2 Handicap Match,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1634,2012-08-31,John Cena vs John Laurinaitis & The Big Show,John Cena,John Laurinaitis & The Big Show,Win,Exhibition,WWE,1 vs 2 Handicap Match,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
